altura,altura_predita
108.3,110.7
114.9,114.45
115.4,114.9
113.9,114.9
109.5,109.5
128.05,128.35
119.8,118.9
117.3,117.5
109.4,109.5
118.9,119.8
113.65,117.05
112.9,111.95
116.0,116.75
102.7,101.2
103.75,103.45
117.25,115.4
117.4,116.0
102.6,102.8
117.05,113.65
103.45,105.8
104.35,102.85
99.8,100.69
101.15,100.1
102.75,102.6
102.8,102.6
107.65,106.2
115.3,114.7
114.35,113.72
111.15,110.7
106.05,108.32
100.95,101.0
100.69,99.8
100.1,98.32
109.95,108.35
109.11,109.4
109.4,108.32
115.9,116.35
105.8,103.45
104.9,105.05
114.7,113.66
102.85,104.35
119.9,120.5
112.9,114.7
113.35,109.9
98.32,100.1
110.85,111.95
114.1,113.37
115.1,116.8
111.6,111.1
105.05,109.5
101.4,100.95
114.45,114.9
121.65,120.5
109.6,107.9
101.2,102.7
108.1,111.45
110.15,110.1
114.0,110.95
109.8,111.55
101.0,100.95
113.15,111.95
94.85,98.32
111.1,111.6
105.4,103.76
106.2,107.65
119.55,121.35
117.5,117.3
110.7,108.3
107.9,109.11
116.35,116.75
108.32,108.25
114.3,116.0
111.55,109.8
102.5,102.7
113.72,113.37
116.75,116.35
111.95,112.9
115.4,116.1
110.1,110.15
117.8,114.9
109.05,109.5
109.5,109.4
103.76,105.4
108.1,109.9
108.25,108.25
119.45,120.0
109.9,108.1
108.25,108.1
113.37,113.72
128.35,128.05
126.05,128.35
108.1,108.25
120.5,121.65
116.75,116.8
109.5,109.5
116.1,115.4
120.0,119.45
121.1,119.9
117.8,119.2
114.9,115.4
116.8,116.75
121.35,120.0
113.66,113.72
110.95,111.45
104.0,102.5
105.05,102.75
111.45,110.95
108.25,108.25
110.7,111.15
108.35,108.25
108.25,107.65
119.2,116.75
107.8,107.9
114.25,115.9
100.2,102.65
118.1,117.75
106.2,106.65
106.25,106.65
109.15,110.4
115.8,114.0
97.2,96.6
115.9,118.5
115.7,117.05
101.6,99.75
106.0,105.9
119.5,118.65
114.5,115.55
115.5,115.6
113.3,112.55
106.5,105.7
107.2,105.7
115.25,114.9
114.6,115.15
119.3,120.0
104.0,106.5
120.3,119.9
118.65,121.4
114.1,117.05
119.9,118.3
102.5,101.25
112.2,112.05
114.4,114.6
114.3,113.85
110.0,110.35
113.85,114.6
115.15,114.6
108.55,109.8
110.1,113.1
117.75,118.1
127.0,128.7
121.8,121.4
110.35,110.0
105.7,106.5
117.05,116.85
119.75,119.3
102.4,102.1
105.5,107.2
112.55,114.0
108.0,109.45
112.5,114.05
117.05,115.7
109.3,108.0
110.55,112.2
107.9,107.8
106.65,105.05
112.75,112.55
111.6375,113.85
121.5,119.9
113.85,112.5
114.05,112.5
115.55,114.5
103.25,104.5
113.1,110.1
110.9,115.55
105.05,104.35
112.0,111.05
109.5,111.95
107.5,105.8
104.35,106.0
115.55,117.05
114.9,115.25
110.4,109.15
116.35,114.9
115.6,115.5
101.25,102.05
99.75,102.65
119.2,121.5
110.15,109.15
113.35,111.95
118.3,119.9
102.1,102.4
124.3,123.0
110.75,110.65
102.65,99.75
115.4,115.55
109.8,110.65
121.2,120.0
111.95,113.35
98.995,96.6
102.05,101.6
96.6,97.2
120.0,121.2
103.15,105.45
115.15,115.2
105.8,104.5
123.0,121.0
112.2,110.55
109.8,109.45
104.9,105.8
121.4625,119.3
105.45,106.5
109.45,108.0
112.05,112.2
106.65,106.25
116.85,117.05
115.2,112.55
121.4,121.8
118.5,115.9
110.35,110.4
109.75,110.75
117.65,117.05
121.0,123.0
104.5,105.8
110.65,110.75
128.7,124.3
114.0,115.8
108.85,110.0
111.05,110.75
105.9,106.0
