altura,altura_predita
109.95,109.9
113.3,117.05
109.7,113.65
113.6,113.8
108.7,110.1
111.1,113.8
104.45,105.65
108.15,108.05
121.65,122.1
125.7,123.65
113.6,114.55
117.8,117.05
112.6,111.0
115.25,115.6
103.0,102.65
108.0,109.65
114.55,113.6
117.05,117.8
108.35,101.75
112.5,111.6
106.6,104.8
111.4,109.9
110.2,110.95000000000002
114.4,114.4
97.65,97.55
102.2,100.2
96.6,97.8
102.05,102.9
110.2,107.2
115.5,114.05
110.5,107.2
116.0,119.1
97.3,97.5
100.65,103.1
110.8,103.45
114.4,114.40000000000002
97.8,96.6
102.9,102.05
98.1,97.4
101.15,103.65
94.7,97.4
98.3,103.65
94.55,90.2
100.55,103.1
97.4,98.1
102.45,98.5
97.2,98.1
100.6,94.7
101.3,95.65
104.8,106.6
110.4,109.1
113.95,117.8
109.35,105.2
112.65,110.55
107.25,106.4
109.35,109.70000000000002
101.9,106.6
104.55,105.65
96.15,93.2
99.6,98.95
95.3,98.5
98.25,103.65
93.25,90.2
98.5,102.45
105.1,102.55
107.9,114.0
101.85,102.65
107.2,109.65
103.65,101.15
107.2,109.9
110.65,106.4
114.5,107.14999999999999
98.1,97.2
102.35,106.3
98.65,96.45
103.1,100.55
109.05,114.50000000000001
113.4,112.4
97.4,94.7
101.0,106.3
115.6,115.25
117.55,113.6
107.3,100.0
110.2,111.6
107.45,110.2
111.0,110.95000000000002
93.35,97.5
95.1,102.45
106.45,107.35
109.9,107.2
108.3,106.6
112.0,113.6
110.95,110.55
113.65,109.7
96.7,94.55
98.35,101.3
107.75,114.25
113.7,117.05
116.95,115.05
119.7,115.65
102.65,101.85
106.3,102.9
97.5,97.4
100.2,102.2
103.95,106.65
106.5,109.9
96.45,97.5
101.2,101.29999999999998
105.6,103.94999999999999
109.1,111.65
105.2,106.05
108.45,112.95
95.65,101.3
99.15,103.15
108.3,114.5
110.55,114.40000000000002
90.2,93.25
93.2,96.15
111.65,109.09999999999998
117.45,121.65
111.75,114.25
115.65,119.7
106.1,103.45
109.1,110.4
111.0,107.3
112.7,111.6
106.05,105.2
108.15,110.55
97.55,97.65
102.3,103.45
109.15,108.65
111.85,112.4
110.95,105.2
114.0,107.9
109.65,107.2
114.35,110.2
109.45,113.95
117.1,113.8
105.0,108.0
107.3,111.0
102.65,103.0
108.0,105.0
100.0,107.3
102.3,104.55
102.5,103.15
106.6,106.4
112.75,114.05000000000001
116.8,117.70000000000002
114.05,112.75
119.1,116.0
102.45,100.54999999999998
107.35,106.45
108.65,109.15
112.4,113.4
122.1,120.3
126.0,123.65
120.3,122.10000000000001
123.65,125.70000000000002
103.1,103.1
106.4,110.65
115.05,108.45
118.55,113.6
112.95,108.45
115.8,113.65
105.65,104.45
108.05,108.15
114.25,111.75
117.7,116.8
115.9,118.55
119.05,117.55
111.6,112.7
115.05,116.95000000000002
111.25,110.1
113.8,111.1
110.55,112.65
115.0,119.70000000000002
114.45,109.1
117.05,113.7
109.2,108.65
111.6,107.9
106.55,106.65
109.9,106.5
98.95,101.3
102.55,105.1
97.5,93.35
102.4,97.49999999999999
106.65,106.55
109.9,106.5
103.15,98.3
106.4,106.6
106.4,107.25000000000001
110.1,108.7
103.45,110.80000000000001
107.15,114.5
101.75,108.35
105.4,109.05
114.1,112.7
116.7,116.95
109.95,110.6
112.45,109.2
113.0,117.95
115.8,119.55
101.35,99.4
105.05,102.35
109.95,107.7
112.35,107.1
110.6,107.3
113.45,115.9
110.05,112.85
114.3,113.4
96.05,95.55
99.6,103.2
113.85,113.95
117.55,115.60000000000001
109.65,112.1
112.85,113.4
109.25,110.1
113.4,113.90000000000002
108.2,107.44999999999999
111.1,108.4
101.3,97.55
104.8,106.3
101.8,103.1
105.0,106.05
109.15,110.1
113.2,113.45000000000002
109.95,109.1
112.95,111.9
101.05,103.25
103.0,110.6
113.95,115.80000000000001
117.95,119.8
108.4,110.7
112.4,112.84999999999998
113.9,112.99999999999999
118.0,115.6
106.3,104.8
110.8,109.85
110.1,110.80000000000001
113.35,114.10000000000001
109.15,110.7
112.0,109.6
104.6,101.0
107.95,108.6
109.1,109.95
111.9,112.95
110.85,107.4
112.4,112.95
102.85,101.05
105.6,107.99999999999999
104.3,109.05000000000001
107.4,110.15
122.1,123.15
125.3,127.45
116.3,118.85
119.55,119.8
104.7,99.6
108.6,107.95
102.15,100.2
105.3,103.5
114.3,111.05
117.5,113.95
97.2,103.5
101.0,104.6
100.75,106.3
104.65,104.79999999999998
107.45,103.25
111.05,112.1
103.75,102.05
106.2,105.5
108.75,107.94999999999999
111.2,111.90000000000002
110.7,108.4
114.15,115.8
104.6,107.7
107.75,107.3
105.2,111.45
109.2,108.55
102.05,108.55000000000001
106.2,108.4
100.7,99.7
103.8,110.6
107.65,114.35
109.95,116.15
113.65,113.89999999999999
118.9,113.8
109.95,109.65
113.4,112.85
96.8,97.25
101.45,99.6
109.05,104.3
110.15,116.15
104.9,108.94999999999999
110.1,109.25
99.6,104.69999999999999
101.9,103.44999999999999
105.6,103.44999999999999
110.7,109.15
104.8,109.85
107.4,110.85
99.4,97.25
103.25,107.45
99.75,97.55
103.25,106.5
109.75,108.74999999999999
113.05,111.99999999999999
110.1,109.15
112.75,113.2
104.65,104.7
108.9,103.8
110.15,108.55
114.1,113.0
109.85,114.8
113.8,118.0
95.7,99.4
99.0,100.2
95.55,96.05
98.25,100.8
112.85,118.9
116.4,118.9
102.75,108.55
108.4,112.5
108.0,105.60000000000001
111.4,109.6
113.0,110.14999999999999
115.6,118.0
97.55,101.3
101.05,102.85
118.95,117.1
121.8,121.34999999999998
95.45,95.55
99.7,100.7
110.6,103.79999999999998
113.6,110.1
103.45,105.59999999999998
108.35,105.6
115.55,108.55
118.85,115.3
106.8,104.95
109.6,111.4
94.45,95.45
98.2,95.7
96.55,96.05
101.1,97.55
91.3,94.45
95.0,94.45
114.55,108.2
117.95,113.0
99.0,101.1
102.4,100.75
108.95,102.05
114.35,112.5
98.25,97.25
102.35,107.7
117.1,118.95
121.35,121.80000000000001
105.5,106.2
109.75,108.55
103.5,97.2
107.1,112.35
99.4,101.35
103.1,105.04999999999998
115.8,114.15
120.15,113.0
100.2,99.0
103.5,105.0
103.2,104.8
107.3,107.75
106.05,104.99999999999999
109.85,110.8
100.2,97.25
104.8,103.2
111.9,111.19999999999999
115.3,118.85000000000001
108.55,102.75
112.5,108.4
116.15,109.95
119.8,117.95
111.45,105.2
115.9,113.45
104.7,104.65
108.75,110.70000000000002
104.95,108.75
108.2,114.55000000000001
112.0,113.05
114.8,109.85
116.55,117.95
120.0,121.35
97.25,98.25000000000001
102.05,103.75
104.75,106.2
108.55,115.55
123.15,122.1
127.45,125.3
107.7,102.35
112.1,111.05
103.95,99.0
108.0,106.05
106.5,102.85
109.35,108.35
100.8,98.25
104.4,101.05
